No.,ID,TIMESTAMP
1,21102,1745310299764
2,26819,1745310304761
3,17602,1745310309761
4,17896,1745310314767
5,29789,1745310319769
6,14114,1745310324769
7,25483,1745310329774
8,19644,1745310334775
9,9627,1745310339775
10,29204,1745310344778
11,15171,1745310349779
12,936,1745310354779
13,27011,1745310359781
14,14940,1745310364785
15,21760,1745310369786
16,20064,1745310374787
17,18862,1745310379791
18,17347,1745310384793
19,20425,1745310389797
20,1922,1745310394802
21,11601,1745310399802
22,9102,1745310404804
23,24477,1745310409808
24,25579,1745310414809
25,7764,1745310419813
26,26804,1745310424813
27,5007,1745310429814
28,12456,1745310434818
29,21864,1745310439818
30,9880,1745310444819
31,27411,1745310449820
32,4662,1745310454824
33,12851,1745310459823
34,17180,1745310464824
35,9341,1745310469828
36,10682,1745310474829
37,9011,1745310479831
38,9062,1745310484835
39,16988,1745310489836
40,3135,1745310494841
41,13971,1745310499842
42,14122,1745310504843
43,8377,1745310509847
44,12181,1745310514850
45,931,1745310519851
46,6153,1745310524851
47,24878,1745310529853
48,25666,1745310534852
49,12143,1745310539856
50,16024,1745310544857
51,2451,1745310549858
52,13264,1745310554860
53,2404,1745310559860
54,17686,1745310564859
55,24379,1745310569861
56,3860,1745310574862
57,7312,1745310579862
58,12441,1745310584866
59,17315,1745310589871
60,22272,1745310594872
61,11110,1745310599873
62,29217,1745310604877
63,22822,1745310609878
64,18671,1745310614884
65,24563,1745310619886
66,11466,1745310624887
67,139,1745310629892
68,8656,1745310634893
69,22877,1745310639894
70,7702,1745310644897
71,23261,1745310649898
72,1635,1745310654899
73,1592,1745310659902
74,21327,1745310664903
75,7404,1745310669905
76,28449,1745310674906
77,18415,1745310679911
78,8470,1745310684912
79,1920,1745310689915
80,12613,1745310694920
81,18785,1745310699921
82,12168,1745310704927
83,20161,1745310709928
84,11029,1745310714929
85,21295,1745310719935
86,10300,1745310724934
87,27832,1745310729935
88,4933,1745310734939
89,28738,1745310739944
90,19979,1745310744945
91,2656,1745310749947
92,9380,1745310754951
93,11530,1745310759953
94,29706,1745310764959
95,15529,1745310769961
96,126,1745310774962
97,23539,1745310779967
98,24131,1745310784972
99,7227,1745310789973
100,6116,1745310794979
101,27943,1745310799980
102,14500,1745310804981
103,14625,1745310809986
104,11767,1745310814990
105,2393,1745310819991
106,15195,1745310824991
107,4245,1745310829996
108,28596,1745310834998
109,5985,1745310840002
110,13758,1745310845007
111,5613,1745310850007
112,25245,1745310855012
113,14014,1745310860017
114,10561,1745310865018
115,23682,1745310870023
116,15101,1745310875024
117,11078,1745310880024
118,17244,1745310885028
119,29368,1745310890033
120,22707,1745310895033
121,19714,1745310900033
122,27640,1745310905037
123,29369,1745310910038
124,5263,1745310915044
125,14835,1745310920048
126,874,1745310925050
127,16082,1745310930055
128,8942,1745310935061
129,22843,1745310940063
130,21709,1745310945068
131,10211,1745310950069
132,2429,1745310955070
133,7269,1745310960075
134,28010,1745310965079
135,9189,1745310970079
136,8667,1745310975085
137,2923,1745310980090
138,19460,1745310985091
139,15860,1745310990096
140,29679,1745310995101
141,24289,1745311000101
142,27684,1745311005106
143,1035,1745311010109
144,15468,1745311015111
145,21189,1745311020117
146,9326,1745311025119
147,18944,1745311030119
148,25754,1745311035125
149,16851,1745311040130
150,5480,1745311045131
151,9383,1745311050137
152,9697,1745311055142
153,5157,1745311060143
154,19166,1745311065148
155,9834,1745311070153
156,29556,1745311075154
157,15278,1745311080158
158,24731,1745311085163
159,5233,1745311090163
160,15524,1745311095168
161,1097,1745311100174
162,26321,1745311105174
163,16677,1745311110180
164,2136,1745311115185
165,26421,1745311120185
166,13154,1745311125191
167,25049,1745311130196
168,27266,1745311135196
169,8332,1745311140202
170,19431,1745311145208
171,24360,1745311150209
172,19505,1745311155214
173,28193,1745311160219
174,20763,1745311165220
175,8515,1745311170223
176,5370,1745311175227
177,6478,1745311180228
178,22651,1745311185228
179,14135,1745311190232
180,15710,1745311195233
181,9761,1745311200233
182,16490,1745311205237
183,28840,1745311210239
184,2279,1745311215240
185,7445,1745311220245
186,28023,1745311225246
187,12348,1745311230247
188,23239,1745311235252
189,3927,1745311240252
190,27,1745311245252
191,640,1745311250257
192,28159,1745311255256
193,9349,1745311260257
194,1423,1745311265260
195,8064,1745311270260
196,27970,1745311275260
197,29144,1745311280265
198,10281,1745311285266
199,27531,1745311290265
200,8555,1745311295270
201,28364,1745311300270
202,14987,1745311305273
203,1888,1745311310277
204,12938,1745311315278
205,15181,1745311320284
206,1945,1745311325289
207,7903,1745311330291
208,24020,1745311335292
